num_periods,total_demand,total_allocated,uncovered_demand,avg_load,load_variance,global_coverage,worker_efficiency,operational_risk,temporal_stability,label
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,54,54,0,2.25,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,54,54,0,2.25,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,65,65,0,2.7083333333333335,2.539930555555556,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,54,54,0,2.25,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,65,65,0,2.7083333333333335,2.539930555555556,1.0,1.0,0.0,1.0,1
24,56,56,0,2.3333333333333335,2.4722222222222223,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,54,54,0,2.25,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,54,54,0,2.25,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,65,65,0,2.7083333333333335,2.539930555555556,1.0,1.0,0.0,1.0,1
24,66,66,0,2.75,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,64,64,0,2.6666666666666665,2.805555555555556,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.5677083333333335,1.0,1.0,0.0,1.0,1
24,63,63,0,2.625,2.6510416666666665,1.0,1.0,0.0,1.0,1
24,55,55,0,2.2916666666666665,2.456597222222222,1.0,1.0,0.0,1.0,1
24,59,59,0,2.4583333333333335,1.998263888888889,1.0,1.0,0.0,1.0,1
24,62,62,0,2.5833333333333335,2.909722222222222,1.0,1.0,0.0,1.0,1
24,54,54,0,2.25,2.8541666666666665,1.0,1.0,0.0,1.0,1
24,65,65,0,2.7083333333333335,2.539930555555556,1.0,1.0,0.0,1.0,1
24,56,56,0,2.3333333333333335,2.4722222222222223,1.0,1.0,0.0,1.0,1
